typeL,right,TrialN,corrAns,TypeR,left,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,resp.keys,resp.corr,resp.rt,buttonBoxButton,buttonBoxRT,date,frameRate,expName,session,participant,
word,ship,1,3,word,tour,0,0,0,0,return,0,0.00308990478516,,,2017_Sep_29_1314,59.6566506513,LDT2,01,,
non word,****,2,1,non word,****,0,1,1,1,return,0,0.00252318382263,"Triggered
","Triggered
",2017_Sep_29_1314,59.6566506513,LDT2,01,,
