typeL,right,TrialN,corrAns,TypeR,left,Zipf_L,Trial_number_L,FreqCount_L,Trial_Number_R,FreqCount_R,Zipf_R,order,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,resp.keys,resp.corr,resp.rt,buttonBoxButton,buttonBoxRT,date,frameRate,expName,session,participant,
word,ship,1,3,word,tour,,,,,,,,,0,0,0,0,,,,,space,0,0.00302195549011,NA,NA,2017_Sep_26_1542,59.9311284925,LDT2,01,,
non word,****,2,1,non word,****,,,,,,,,,0,1,1,1,,,,,space,0,0.00228881835938,NA,NA,2017_Sep_26_1542,59.9311284925,LDT2,01,,
non word,hart,3,2,word,****,,,,,,,,,0,2,2,2,,,,,space,0,0.00343704223633,NA,NA,2017_Sep_26_1542,59.9311284925,LDT2,01,,
non word,****,4,1,non word,****,,,,,,,,,0,3,3,3,,,,,space,0,0.00312495231628,NA,NA,2017_Sep_26_1542,59.9311284925,LDT2,01,,
,buck,,3,,pipe,4.26,5307,3648,7295,1837,3.96,0.933862796947,two words,,,,,0,0,0,0,1,0,1.28674292564,NA,NA,2017_Sep_26_1542,59.9311284925,LDT2,01,,
,damp,,2,,****,NA,NA,NA,4890,4381,4.34,0.750595602495,one word_R,,,,,0,1,1,1,2,1,0.268975019455,NA,NA,2017_Sep_26_1542,59.9311284925,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.48712321677,zero words,,,,,0,2,2,2,3,0,0.219686031342,NA,NA,2017_Sep_26_1542,59.9311284925,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.264779568336,zero words,,,,,0,3,3,3,2,0,0.385431051254,NA,NA,2017_Sep_26_1542,59.9311284925,LDT2,01,,
,****,,2,,tree,4.95,2892,18042,NA,NA,NA,0.966886245026,one word_L,,,,,0,4,4,4,1,0,1.16945195198,NA,NA,2017_Sep_26_1542,59.9311284925,LDT2,01,,
,****,,1,,****,NA,NA,NA,NA,NA,NA,0.10208028355,zero words,,,,,0,5,5,5,2,0,1.26755619049,NA,NA,2017_Sep_26_1542,59.9311284925,LDT2,01,,
,****,,2,,hell,4.89,3024,15495,NA,NA,NA,0.846576116443,one word_L,,,,,0,6,6,6,3,0,1.2197060585,NA,NA,2017_Sep_26_1542,59.9311284925,LDT2,01,,
