typeL,right,TrialN,corrAns,TypeR,left,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,resp.keys,resp.corr,resp.rt,buttonBoxButton,buttonBoxRT,date,frameRate,expName,session,participant,
word,ship,1,3,word,tour,0,0,0,0,1,0,1.32043910027,	,	,2017_Aug_15_1536,59.7657137239,LDT2,01,,
non word,****,2,1,non word,****,0,1,1,1,3,0,1.11947894096,	,	,2017_Aug_15_1536,59.7657137239,LDT2,01,,
