14.3987 	EXP 	Created fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.2, italic=False, name='fixation', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units='norm', win=Window(...), wrapWidth=1)
14.3993 	EXP 	Created blank = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='blank', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units='norm', win=Window(...), wrapWidth=1)
14.4276 	EXP 	Created thanksText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='arial', fontFiles=[], height=0.2, italic=False, name='thanksText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units='norm', win=Window(...), wrapWidth=1)
14.4464 	EXP 	instr1: autoDraw = True
14.8052 	DATA 	Keypress: space
14.8176 	EXP 	Imported conditions1.xlsx as conditions, 4 conditions, 6 params
14.8179 	EXP 	Created sequence: sequential, trialTypes=4, nReps=1, seed=None
14.8184 	EXP 	New trial (rep=0, index=0): {u'typeL': u'word', u'right': u'ship', u'TrialN': 1L, u'corrAns': 3L, u'TypeR': u'word', u'left': u'tour'}
14.8447 	EXP 	instr1: autoDraw = False
14.8447 	EXP 	itemL: text = u'tour'
14.8447 	EXP 	itemR: text = u'ship'
14.8447 	EXP 	blank: autoDraw = True
15.3283 	EXP 	blank: autoDraw = False
15.3441 	EXP 	fixation: autoDraw = True
15.8446 	EXP 	itemR: autoDraw = True
15.8446 	EXP 	itemL: autoDraw = True
16.0778 	EXP 	fixation: autoDraw = False
16.0778 	EXP 	itemR: autoDraw = False
16.0778 	EXP 	itemL: autoDraw = False
18.2975 	DATA 	Keypress: 1
